"cod_prov","nom_prov","cod_depto","nom_depto","cod_loc","cod_sit","cod_entidad","cod_bahra","tipo_bahra","nombre_bahra","lat_gd","long_gd","lat_gms","long_gms","fuente_ubicacion"
"02","CIUDAD DE BUENOS AIRES","000","","010","000","000","02000010000 ","LC ","CIUDAD DE BUENOS AIRES",-34.6132917290185,-58.3887517365082,"-34° 36m 47.850"" ","-58° 23m 19.506"" ","INDEC"
"02","CIUDAD DE BUENOS AIRES","001","COMUNA 1","010","000","001","02001010001 ","E  ","CONSTITUCION",-34.6250478642294,-58.384387226424,"-34° 37m 30.172"" ","-58° 23m 3.794"" ","INDEC"
"02","CIUDAD DE BUENOS AIRES","001","COMUNA 1","010","000","002","02001010002 ","E  ","MONSERRAT",-34.6126880821742,-58.379652044818,"-34° 36m 45.677"" ","-58° 22m 46.747"" ","INDEC"
"02","CIUDAD DE BUENOS AIRES","001","COMUNA 1","010","000","003","02001010003 ","E  ","PUERTO MADERO",-34.6092161933037,-58.3563809151849,"-34° 36m 33.178"" ","-58° 21m 22.971"" ","INDEC"
"02","CIUDAD DE BUENOS AIRES","001","COMUNA 1","010","000","004","02001010004 ","E  ","RETIRO",-34.5884243429366,-58.3759359131827,"-34° 35m 18.328"" ","-58° 22m 33.369"" ","INDEC"
"02","CIUDAD DE BUENOS AIRES","001","COMUNA 1","010","000","005","02001010005 ","E  ","SAN NICOLAS",-34.6036683192305,-58.3805143256131,"-34° 36m 13.206"" ","-58° 22m 49.852"" ","INDEC"
"02","CIUDAD DE BUENOS AIRES","001","COMUNA 1","010","000","006","02001010006 ","E  ","SAN TELMO",-34.6215200115838,-58.3715453876304,"-34° 37m 17.472"" ","-58° 22m 17.563"" ","INDEC"
"02","CIUDAD DE BUENOS AIRES","002","COMUNA 2","010","000","001","02002010001 ","E  ","RECOLETA",-34.5858760078165,-58.3949961802632,"-34° 35m 9.154"" ","-58° 23m 41.986"" ","INDEC"
"02","CIUDAD DE BUENOS AIRES","003","COMUNA 3","010","000","001","02003010001 ","E  ","BALVANERA",-34.6090997738407,-58.4030625195747,"-34° 36m 32.759"" ","-58° 24m 11.025"" ","INDEC"
"02","CIUDAD DE BUENOS AIRES","003","COMUNA 3","010","000","002","02003010002 ","E  ","SAN CRISTOBAL",-34.623864473461,-58.4018857979853,"-34° 37m 25.912"" ","-58° 24m 6.789"" ","INDEC"
"02","CIUDAD DE BUENOS AIRES","004","COMUNA 4","010","000","001","02004010001 ","E  ","BARRACAS",-34.6464135507847,-58.3842710319828,"-34° 38m 47.089"" ","-58° 23m 3.376"" ","INDEC"
"02","CIUDAD DE BUENOS AIRES","004","COMUNA 4","010","000","002","02004010002 ","E  ","BOCA",-34.6310700719721,-58.3568304109892,"-34° 37m 51.852"" ","-58° 21m 24.589"" ","INDEC"
"02","CIUDAD DE BUENOS AIRES","004","COMUNA 4","010","000","003","02004010003 ","E  ","NUEVA POMPEYA",-34.6505501963997,-58.4188550090093,"-34° 39m 1.981"" ","-58° 25m 7.878"" ","INDEC"
"02","CIUDAD DE BUENOS AIRES","004","COMUNA 4","010","000","004","02004010004 ","E  ","PARQUE PATRICIOS",-34.6375496406835,-58.4016756206755,"-34° 38m 15.179"" ","-58° 24m 6.032"" ","INDEC"
"02","CIUDAD DE BUENOS AIRES","005","COMUNA 5","010","000","001","02005010001 ","E  ","ALMAGRO",-34.6092276891202,-58.4217452253939,"-34° 36m 33.220"" ","-58° 25m 18.283"" ","INDEC"
"02","CIUDAD DE BUENOS AIRES","005","COMUNA 5","010","000","002","02005010002 ","E  ","BOEDO",-34.6299600080664,-58.4188403738383,"-34° 37m 47.856"" ","-58° 25m 7.825"" ","INDEC"
"02","CIUDAD DE BUENOS AIRES","006","COMUNA 6","010","000","001","02006010001 ","E  ","CABALLITO",-34.6168254996915,-58.443603110353,"-34° 37m .572"" ","-58° 26m 36.971"" ","INDEC"
"02","CIUDAD DE BUENOS AIRES","007","COMUNA 7","010","000","001","02007010001 ","E  ","FLORES",-34.6368070795903,-58.4582698515258,"-34° 38m 12.505"" ","-58° 27m 29.771"" ","INDEC"
"02","CIUDAD DE BUENOS AIRES","007","COMUNA 7","010","000","002","02007010002 ","E  ","PARQUE CHACABUCO",-34.6359392274734,-58.4376956019926,"-34° 38m 9.381"" ","-58° 26m 15.704"" ","INDEC"
