id,institucion,provincia,localidad,direccion,cp,telefono,email,horario_atencion,tipo_api,lat,lon
1,Consultorio Jurídico,MISIONES,Eldorado,San Juan 1860 (Km 9),,(03751) 426875,,Lunes a Viernes de 8 a 13 hs,Legal,-26.3999195,-54.62681199999997
2,Hospital Subzonal “S. Unzué”,BUENOS AIRES,25 De Mayo,Calle 37 S/N (Entre Calle 1 y 101),,(02345) 462267/464849,,24 hs,Salud,-34.5579961,-58.698786600000005
3,Hospital Local “Norberto De La Riestra”,BUENOS AIRES,25 De Mayo,Güemes 1235,,(02343) 440909,,24 hs,Salud,-35.269054,-59.778870299999994
4,Comisaria: Oficina De Violencia,BUENOS AIRES,25 De Mayo,Calle 9 (Entre Calle 26 y 27),,(02345) 462112,,24 hs,Comisaria Mujer,-35.432915,-60.171028
5,Comisaría 2°,BUENOS AIRES,La Riestra,Güemes y Vargas,,(02343) 440113,,24 hs,Comisaria,-35.433651,-60.16661829999998
6,Comisaría,BUENOS AIRES,9 De Julio,Robbio 945,,(02317) 422010/2250,,24 hs,Comisaria,-35.46793470409068,-60.88829040527350
7,Hospital Zonal General De Agudos “Julio De Vedia”,BUENOS AIRES,9 De Julio,Tomás Cosentino 1223,,(02317) 422196/430025,,24 hs,Salud,-35.46793470409065,-60.88829040527344
8,Hospital Municipal,BUENOS AIRES,Dudignac,Doctor Samprieto 1044,,(02317) 492018,,24 hs,Salud,-35.6487122,-60.7055702
9,Hospital Municipal,BUENOS AIRES,Alfredo Demarchi,28 De Marzo 290,,(02317) 491014,,24 hs,Salud,-35.2853394,-61.4190712
10,Hospital Local “General San Martín”,BUENOS AIRES,Carhue,Avellaneda 579,,(02936) 432222,,24 hs,Salud,-37.18083181828743,-62.75321960449219
11,Hospital Municipal,BUENOS AIRES,Rivera,Noe Yarcho y Hertze S/N,,(02935) 432014/432269,,24 hs,Salud,-37.15839851398216,-63.243141174316406
12,Hospital Local “Gral. Anita Elicagaray”,BUENOS AIRES,Adolfo Gonzales Chaves,José Astorghiari 20,,(02983) 484452,,24 hs,Salud,-38.0333337,-60.0833337
13,Comisaria: Oficina De Violencia Familiar,BUENOS AIRES,Adolfo Gonzales Chaves,General Paz 287,,(02983) 481297,,24 hs,Comisaria Mujer,-38.033333,-60.083333
14,Hospital Municipal,BUENOS AIRES,Alberti,General Arias 326,,(02346) 470142,,24 hs,Salud,-35.0337334,-60.278553
15,Comisaría,BUENOS AIRES,Alberti,Alem y Chacabuco,,(02320) 471700/3111,,24 hs,Comisaria,-35.033733,-60.278553
16,Dirección De Fortalecimiento Familiar,BUENOS AIRES,Burzaco,España y Cerreti,,4299-7616/4238-4945,,Lunes a Viernes de 8 a 13 hs,Niñez / Familia,-34.828623,-58.393334
17,Subsecretaría De Derechos Humanos,BUENOS AIRES,Adrogue,Esteban Adrogué 1224,,4294-7844,,Lunes a Viernes de 10 a 17 hs,Mujer,-34.798266,-58.39032759999998
18,Consejo Municipal De La Mujer,BUENOS AIRES,Adrogue,Ferreti 849,,4293-1342,,Lunes a Viernes de 9 a 14 hs .,Mujer,-34.632429,-58.36060859999998
19,Comisaría De La Mujer,BUENOS AIRES,Burzaco,Andrade 98,,4238-8555,,24 hs,Comisaria Mujer,-34.8882845,-58.382081700000015
20,Hospital Zonal General De Agudos “Dr. Lucio Meléndez”,BUENOS AIRES,Adrogue,Presidente Perón (Ex Gorriti) 859,,4294-5555/9512/1313,,24 hs,Salud,-34.6325128,-58.36055729999998
21,Hospital Zonal General De Agudos “Dr. Arturo Oñativia”,BUENOS AIRES,Rafael Calzada,Ramón Carillo 1339,,4219-5049/5040/5045 al 5048,,24 hs,Salud,-34.7862006,-58.35163720000003
22,Unidad De Pronta Atención,BUENOS AIRES,Longchamps,Avenida Aviación (Entre Boulogne Sur Mer y Francia),,Sin Teléfono,,24 hs,Salud,-34.8281517,-58.38654709999997
23,Hospital “Santa Francisca Romana”,BUENOS AIRES,Arrecifes,Avenida Merlassino 791,,(02478) 451327,,24 hs,Salud,-34.0638778,-60.1034887
24,Comisaría,BUENOS AIRES,Arrecifes,Saavedra 226,,(02478) 452521/2559,,24 hs,Comisaria,-34.0638771,-60.1034889
25,Dirección De La Mujer,BUENOS AIRES,Avellaneda,Avenida Belgrano 1124 (PB),,5533-9900 (interno 1-opción 3),,Lunes a Viernes de 8 a 16 hs,Mujer,-34.6678132,-58.364305
26,Comisaría De La Mujer,BUENOS AIRES,Avellaneda,Colón 167,,4222-0005,,24 hs,Comisaria Mujer,-34.6614411,-58.37248850000003
27,Hospital  Materno Infantil “Ana Goitia”,BUENOS AIRES,Avellaneda,López 1737,,4204-8451/6193/9085,,24 hs,Salud,-33.7440509,-61.98190320000003
28,Hospital Interzonal General De Agudos ”Dr. Pedro Fiorito”,BUENOS AIRES,Avellaneda,Avenida Belgrano 851,,4201-3081/87,,24 hs,Salud,-34.665621 ,-58.36564520000002
29,Hospital Interzonal General De Agudos “Presidente Perón”,BUENOS AIRES,Sarandi,Anatole France 773,,4204-1021/28,,24 hs,Salud,-34.6817047,-58.35780090000003
30,Hospital Municipal,BUENOS AIRES,Wilde,Baradero 5808,,5227-7653/7641,,24 hs,Salud,-34.6968692 ,-58.312685699999975
31,Unidad De Pronta Atención,BUENOS AIRES,Wilde,Caxaraville (Entre Bulevard De Los Italianos y De La Peña),,4220-7937/7965/7979/8051,,24 hs,Salud,-34.71431300303242,-58.34486961364746
32,Hospital Local Municipal “Doctor Pedro Solane”,BUENOS AIRES,Ayacucho,Avenida Dindart 852,,(02296) 452099/2143,,24 hs,Salud,-37.1502686,-58.48297120000001
33,Comisaría,BUENOS AIRES,Ayacucho,Bartolome Mitre 1152,,(02296) 452013/451657,,24 hs,Comisaria,-37.1502687,-58.212756482
34,Juzgado De Paz,BUENOS AIRES,Ayacucho,Bartolome Mitre 1154,,(02296) 452739,,Lunes a Viernes de 8 a 13 hs,Legal,-37.1502688,-58.212756483
35,Comisaría De La Mujer,BUENOS AIRES,Azul,Avenida Perón 865,,(02281) 423791,,24 hs,Comisaria Mujer,-36.7862239 ,-59.85969869999997
36,Hospital Municipal,BUENOS AIRES,Azul,Amado Diab 270,,(02281) 433127,,24 hs,Salud,-36.7703329 ,-59.859723299999985
37,Hospital Público “Dr. José Casellas Solá”,BUENOS AIRES,Cachari,25 De Mayo 1069,,(02281) 481036,,24 hs,Salud,-36.7857796 ,-59.867631500000016
38,Hospital Local General “Dr. Horacio Ferro”,BUENOS AIRES,Chillar,Cortazar y Alsina,,(02281) 497112,,24 hs,Salud,-37.3125191,-59.981910700000014
39,Comisaría De La Mujer,BUENOS AIRES,Bahia Blanca,Beruti 664,,(0291) 4558762,,Lunes a Viernes de 8 a 18 hs,Comisaria Mujer,-38.7273338,-62.26323809999997
40,Hospital Interzonal General De Agudos “Dr. José Penna”,BUENOS AIRES,Villa Amaducci,Lainez 2401,,(0291) 4593600/3611,,24 hs,Salud,-38.71167760000001,-62.268077800000015
41,Hospital Municipal,BUENOS AIRES,Bahia Blanca,Estomba 968,,(0291) 4598484/4561836,,24 hs,Salud,-38.7099989,-62.27733230000001
42,Hospital Menor “Leonor De Cappelli”,BUENOS AIRES,Ingeniero White,Paul Harris y Lautaro S/N,,(0291) 4573132/1350,,24 hs,Salud,-38.784481,-62.267761199999995
43,Hospital Municipal,BUENOS AIRES,Balcarce,Calle 19 N° 92 (Entre Calle 30 y 28),,(02266) 422964,,24 hs,Salud,-37.846407,-58.255458
44,Comisaría,BUENOS AIRES,Balcarce,Avenida Uriburu 654,,(02266) 424013,,24 hs,Comisaria,-37.847222,-58.254196
45,Hospital Subzonal General “Dr. Lino Piñeiro”,BUENOS AIRES,Baradero,Teófilo Rusell 1170,,(03329) 480321/0004,,24 hs,Salud,-34.639035,-58.475056
46,Comisaría,BUENOS AIRES,Baradero,Gorritis y Gallo,,(03329) 480756,,24 hs,Comisaria,-33.808876,-59.504684
47,Comisaría De La Mujer,BUENOS AIRES,Berazategui,Calle 160 (Entre Calle 24 y 35),,4395-1283,,24 hs,Comisaria Mujer,-34.7725069,-58.20869829999996
48,Hospital Zonal General De Agudos Descentralizado “Evita Pueblo”,BUENOS AIRES,Berazategui,Calle 136 (Entre Calle 27 y 28),,4223-2992/97,,24 hs,Salud,-34.7725067,-58.20869829999998
49,Dirección De Derechos Humanos,BUENOS AIRES,Berisso,Montevideo y Calle 2 (1°P),,(0221) 4617952,MESADISTRITALBERISSO@GMAIL.COM,Lunes a Viernes de 8 a 13 hs,Mujer,-34.8653187,-57.89078089999998
50,Comisaría De La Mujer,BUENOS AIRES,Berisso,Montevideo y Calle 41,,(0221) 4621295,,24 hs,Comisaria Mujer,-34.8651096,-57.891481399999975
51,Ong “Decir Basta”,BUENOS AIRES,Berisso,Calle 10 Nº 4369 (Entre Calle 165 y 166),,(0221) 4645328,,,Organización no gubernamental,-34.8697778,-57.88490580000001
52,Ayudantia Fiscal,BUENOS AIRES,Berisso,Montevideo y Carlos Gardel,,(0221) 4612581,,Lunes a Viernes de 8 a 13 hs,Legal,-34.866467,-57.887242
53,Hospital Zonal General De Agudos “Dr. Mario V. Larrain”,BUENOS AIRES,Berisso,Calle 5 N° 4435 (1° P),,(0221) 4616176,,Lunes a Viernes de 8 a 14 hs,Salud,-34.9057503,-57.92236329999997
54,Oficina De Derechos Humanos,BUENOS AIRES,Bolivar,Güemes 35,B6550BBA,(02314) 420369,ISABELPERALTA@HOTMAIL.COM,Lunes a Viernes de 9 a 14 hs,Mujer,-36.2283940,-61.1076435
55,Hospital Subzonal “Dr. Miguel A. Capredoni”,BUENOS AIRES,Bolivar,Avenida Calfucurá S/N,,(02314) 427015/7515,,24 hs,Salud,-36.2283936,-61.1076431
56,Hospital Municipal,BUENOS AIRES,Bolivar,Palau 66,,(02314) 492126,,24 hs,Salud,-36.2283936,-61.1076434
57,Hospital Municipal,BUENOS AIRES,Urdampilleta,Pasteur 54,,(02314) 491215,,24 hs,Salud,-36.2283938,-61.1076431
58,Oficina De Atención De Violencia De Genero,BUENOS AIRES,Bragado,Italia 169,B6640EDC,(02342) 427661,,Lunes a Viernes de 8 a 20 hs,Mujer,-35.1147938,-60.4916949
59,Comisaría,BUENOS AIRES,Bragado,Belgrano 1141,B6640CEW,(02342) 430121/430666,,24 hs,Comisaria,-35.1146296,-60.491042300000004
60,Hospital Municipal,BUENOS AIRES,Bragado,Hermanos Islas 1451 (Entre Moreno y Urquiza),,(02342) 430572/422169/2210,,24 hs,Salud,-35.12124912835687,-60.504584312438965
61,Comisaría,BUENOS AIRES,Brandsen,Sáenz Peña 720 (Esquina Mitre),B1980EEU,(02223) 442215/442690,,24 hs,Comisaria,-35.1747596,-58.2341209
62,Hospital Municipal,BUENOS AIRES,Brandsen,Ruta 29 Km. 1,,(02223) 442774/3193,,24 hs,Salud,-35.1996155,-58.2128754
63,Comisaría,BUENOS AIRES,Campana,Rawson 372,,(03489) 422025/422534/428052,,Lunes a Viernes de 8 a 20 hs,Comisaria,-34.1635367,-58.961375
64,Hospital “San José”,BUENOS AIRES,Campana,Alberti 576,,(03489) 407301/21/25,,24 hs,Salud,-34.1673897,-58.9539789
65,Servicio Local De Protección De Derechos De Niños Y Adolescentes,BUENOS AIRES,Campana,Colón 697 y Ameghino,,(03489) 432872,,Lunes a Viernes de 8 a 13 hs,Niñez / Familia,-34.1700009,-58.956300699999986
66,Comisaría De La Mujer,BUENOS AIRES,Cañuelas,Libertad 1263,,(02226) 431535,,24 hs,Comisaria Mujer,-35.0508673,-58.7649365
