codigo,titulo,organismo,en_que_consiste,requisitos,como_se_hace_el_tramite,quien_puede_o_debe_efectuarlo,que_vigencia_tiene_el_documento,cuantas_veces_deberia_asistir_al_organismo,tiempo_desde_la_solicitud_hasta_la_entrega,donde_se_puede_realizar,cuando_es_necesario_realizar_el_tramite,observaciones
361,"Reclamos y Sugerencias ante la Administración Nacional de Medicamentos, Alimentos y Tecnología Médica (ANMAT)","Administración Nacional de Medicamentos, Alimentos y Tecnología Médica","La Administración Nacional de Medicamentos, Alimentos y Tecnología Médica (ANMAT) ha implementado un Sistema de Reclamos y Sugerencias orientado al mejoramiento de las capacidades de gestión en relación con las necesidades y demandas ciudadanas. Los reclamos o sugerencias pueden estar relacionadas con defectos de tramitación en particular, disconformidad en general, aportes o iniciativas, apuntados a la mejora de los servicios u otros motivos, destinados a acrecentar la calidad de la prestación ofrecida por la ANMAT.  Sugerencia: es toda insinuación, inspiración o idea que se desea hacer entrar en el ánimo del otro.  Reclamo: es toda expresión de insatisfacción proveniente de los consumidores o usuarios, justificada o no.",1.- Formulario de Quejas y/o Sugerencias debidamente cumplimentado.,1.- Completar el formulario y enviarlo: - Por correo electrónico a: responde@anmat.gov.ar - Por fax al número 4340-0800 Int. 1159 - En forma digital a través del Formulario Quejas y/o Sugerencias.,Clientes regulados y ciudadanos.,,,"Si el interesado ha dejado datos de contacto en el Formulario, recibirá una respuesta por la vía indicada dentro de los siete días hábiles.",,,
2010,Consulta de establecimientos declarados como agentes contaminantes,Autoridad de Cuenca Matanza Riachuelo,Acceder al listado actualizado de establecimientos declarados como Agentes Contaminantes y que deben reconvertir sus procesos productivos en la cuenca.,,1.- Consultar el Listado.,,,,,,,
884,Reclamo del Servicio de Acceso a Internet por Inconvenientes Técnicos en su Prestación,Comisión Nacional de Comunicaciones,"Solicitar la intervención de la Comisión Nacional de Comunicaciones en el caso de inconvenientes técnicos relativos al servicio de acceso a Internet.

Las causas más comunes de este tipo de reclamo son:
- Sin Servicio.
- Servicio Deficiente.","1.- Si usted es titular del servicio deberá presentar fotocopia del documento de identidad (DNI, CI, LC, LE, Pasaporte).

2.- Si usted es apoderado deberá presentar un poder ante escribano público o carta poder con firma certificada por entidad bancaria o policial.

3.- Copia completa de una factura reciente del servicio.

4.- Para cualquier tipo de denuncia deberá informar fecha y número de reclamo otorgado por la empresa prestataria del servicio y/u otra documentación que crea de interés.

5.- Fotocopia de cualquier documentación enviada a la empresa o recibida de ésta.

6.- F37c - Formulario General Para iniciar Reclamos Sobre Servicios de Internet y/o nota firmada por quien se presente, debiendo identificar el problema.","1.- Es obligatorio que en primer lugar se efectúe el reclamo ante la empresa.

Si la empresa no respondiese o Ud. no hubiere quedado satisfecho con la respuesta, quedará habilitado para requerir la intervención de esta Comisión Nacional.

2.- Para iniciar el reclamo ante la CNC deberá presentar la documentación mencionada en la Oficina de Atención al Público correspondiente a su domicilio o bien remitirla por correo postal al apartado especial 114 (consulte el apartado correspondiente a su domicilio).

3.- El estado del trámite puede consultarse en la oficina en que haya iniciado su Reclamo telefónicamente, en forma personal o por correo electrónico.

4.- El trámite finaliza con la notificación de su resolución al usuario y a la empresa prestadora.

NOTA: La CNC dispone de un Centro de Consultas Telefónicas (Call Center) que brinda asesoramiento a los usuarios mediante la línea gratuita 0800-333-3344 de Lunes a Viernes de 8:00 a 18:00 hs.",El reclamo puede ser efectuado por el titular o sus apoderados.,,,,Centro de Atención al Usuario del Espectro Radioeléctrico (CAUER) y Oficinas de Atención al Público en todo el País.,,
913,Reclamo de Telefonía Fija por Gestiones Administrativas,Comisión Nacional de Comunicaciones,"Solicitar la intervención de la Comisión Nacional de Comunicaciones en el caso de producirse inconvenientes administrativos relacionados con el servicio de telefonía fija.

Las causas más comunes de este tipo de reclamo son: 
- Incumplimiento de instalación o cambio de domicilio del servicio.
- Demora en rehabilitar el servicio.
- Incomunicación del servicio sin telegestión previa.
- Baja del servicio sin notificación previa.
- No recepción de facturas.
- No figuración en guía.
- Incumplimiento de solicitud de baja.
- Desconocimiento de elección del prestador de larga distancia.","1.- Si usted es titular de la línea deberá presentar fotocopia del documento de identidad (DNI, CI, LC, LE, Pasaporte).

2.- Si usted es apoderado deberá presentar un poder ante escribano público o carta poder con firma certificada por entidad bancaria o policial.

3.- Si usted es el usuario del servicio deberá presentar fotocopia del contrato de locación o comodato del inmueble, fotocopia de su documento de identidad (DNI, CI, LC, LE, Pasaporte).

4.- Fotocopia de la factura del/de los servicio/s (en caso de poseer).

5.- Para cualquier tipo de denuncia deberá informar fecha y número de reclamo otorgado por la empresa prestataria del servicio y/u otra documentación que crea de interés.

6.- Fotocopia de cualquier documentación enviada a la empresa o recibida de ésta.

7.- F37a - Formulario General Para iniciar Reclamos Sobre Servicios de Telefonía Fija y/o nota firmada por quien se presente, debiendo identificar la fecha de inicio del inconveniente y explicar brevemente el motivo del mismo.","1.- Es obligatorio que en primer lugar se efectúe el reclamo ante la empresa, la cual deberá responder dentro de los 15 (Quince) días hábiles.

Si la empresa no respondiese en tiempo o Ud. no hubiere quedado satisfecho con la respuesta, quedará habilitado para requerir la intervención de esta Comisión Nacional.

2.- Para iniciar el reclamo ante la CNC deberá presentar la documentación mencionada en la Oficina de Atención al Público correspondiente a su domicilio o bien remitirla por correo postal al apartado especial 114 (consulte el apartado correspondiente a su domicilio).

3.- El estado del trámite puede consultarse en la oficina en que haya iniciado su Reclamo telefónicamente, en forma personal o por correo electrónico.

4.- El trámite finaliza con la notificación de su resolución al usuario y a la empresa prestadora.

NOTA: La CNC dispone de un Centro de Consultas Telefónicas (Call Center) que brinda asesoramiento a los usuarios mediante la línea gratuita 0800-333-3344 de Lunes a Viernes de 8:00 a 18:00 hs.","El reclamo puede ser efectuado por el titular, sus apoderados o quienes acrediten tener derecho al uso del inmueble donde se encuentra instalado el servicio.",,,,Centro de Atención al Usuario del Espectro Radioeléctrico (CAUER) y Oficinas de Atención al Público en todo el País.,,
933,Reclamo del Servicio de Acceso a Internet por Inconvenientes en su Facturación,Comisión Nacional de Comunicaciones,"Solicitar la intervención de la Comisión Nacional de Comunicaciones en el caso de inconvenientes en la facturación del servicio de acceso a Internet.

Las causas más comunes de este tipo de reclamo son:
- Cargos mal facturados.
- Desconocimiento de Servicios Adicionales.","1.- Si usted es titular del servicio deberá presentar fotocopia del documento de identidad (DNI, CI, LC, LE, Pasaporte).

2.- Si usted es apoderado deberá presentar un poder ante escribano público o carta poder con firma certificada por entidad bancaria o policial.

3.- Copia completa de una factura reciente del servicio.

4.- Para cualquier tipo de denuncia deberá informar fecha y número de reclamo otorgado por la empresa prestataria del servicio y/u otra documentación que crea de interés.

5.- Fotocopia de cualquier documentación enviada a la empresa o recibida de ésta.

6.- F37c - Formulario General Para iniciar Reclamos Sobre Servicios de Internet y/o nota firmada por quien se presente, debiendo identificar el problema.","1.- Es obligatorio que en primer lugar se efectúe el reclamo ante la empresa.

Si la empresa no respondiese o Ud. no hubiere quedado satisfecho con la respuesta, quedará habilitado para requerir la intervención de la Comisión Nacional de Comunicaciones (CNC).

2.- Para iniciar el reclamo ante la CNC deberá presentar la documentación mencionada en la Oficina de Atención al Público correspondiente a su domicilio o bien remitirla por correo postal al apartado especial 114 (consulte el apartado correspondiente a su domicilio).

3.- El estado del trámite puede consultarse en la oficina en que haya iniciado su Reclamo telefónicamente, en forma personal o por correo electrónico.

4.- El trámite finaliza con la notificación de su resolución al usuario y a la empresa prestadora.",El reclamo puede ser efectuado por el titular o sus apoderados.,,,,Centro de Atención al Usuario del Espectro Radioeléctrico (CAUER) y Oficinas de Atención al Público en todo el País.,,
935,Reclamo por Falta de Recepción de Facturas de Derechos Radioeléctricos,Comisión Nacional de Comunicaciones,"Solicitar el envío de la factura para efectuar su pago, ante la falta de recepción de la misma.","1.- Presentar una Nota en la que se detalle de manera clara los datos necesarios que permitan realizar una nueva emisión de la factura, como ser: nombre o razón social del titular de la autorización, número del expediente administrativo en el cual tramitó, número de cuenta-red asignado, período de facturación que corresponde, etc.","1.- Presentar la Nota en caso de no recibirse la factura correspondiente, antes de la fecha de vencimiento de la misma.
La puede presentar personalmente por Mesa de Entradas de la CNC, mediante correo postal dirigido a Perú 103, piso 15º, Área de &ldquo;Facturación y Administración de Cobranzas&rdquo; o por correo electrónico a facturacion@cnc.gov.ar

NOTA: Habitualmente el usuario debe recibir la factura con una antelación aproximada de 15 días del vencimiento. Se sugiere tener este dato presente como así también la fecha de vencimiento de la factura, a los efectos de efectuar el reclamo en tiempo y evitar el recargo por mora.",El titular de la autorización radioeléctrica.,,,"Dentro de los 15 días, desde la recepción de la solicitud.","Centro de Atención Usuarios Espectro Radioeléctrico (CAUER), Área Facturación y Administración de Cobranzas, Atención al Público sita en Perú 103 Piso 1, de Lunes a Viernes de 10:00 a 14:00 hs., Ciudad Autónoma de Buenos Aires (C1067AAC).",,
936,Reclamo de Telefonía Móvil por Inconvenientes Técnicos en su Prestación,Comisión Nacional de Comunicaciones,"Solicitar la intervención de la Comisión Nacional de Comunicaciones en el caso que posea inconvenientes técnicos en el servicio de telefonía móvil.

Las causas más comunes de este tipo de reclamo son:
- Pérdida de Comunicaciones
- Baja señal/mala cobertura*

*En este punto debe aclararse que la cobertura en todo caso refiere a lugares al aire libre y que no todas las zonas son de cobertura obligatoria.","1.- Si usted es titular del servicio deberá presentar fotocopia del documento de identidad (DNI, CI, LC, LE, Pasaporte).

2.- Si usted es apoderado deberá presentar un poder ante escribano público o carta poder con firma certificada por entidad bancaria o policial.

3.- Copia completa de una factura reciente del servicio.

4.- Para cualquier tipo de denuncia deberá informar fecha y número de reclamo otorgado por la empresa prestataria del servicio y/u otra documentación que crea de interés.

5.- Fotocopia de cualquier documentación enviada a la empresa o recibida de ésta.

6.- F37b - Formulario General Para iniciar Reclamos Sobre Servicios de Telefonía Móvil y/o nota firmada por quien se presente, debiendo identificar el problema.","1.- Es obligatorio que en primer lugar se efectúe el reclamo ante la empresa.

Si la empresa no respondiese dentro de los 3 (TRES) días hábiles o Ud. no hubiere quedado satisfecho con la respuesta, quedará habilitado para requerir la intervención de esta Comisión Nacional.

2.- Para iniciar el reclamo ante la CNC deberá presentar la documentación mencionada en la Oficina de Atención al Público correspondiente a su domicilio o bien remitirla por correo postal al apartado especial 114 (consulte el apartado correspondiente a su domicilio).

3.- El estado del trámite puede consultarse en la oficina en que haya iniciado su Reclamo telefónicamente, en forma personal o por correo electrónico.

4.- El trámite finaliza con la notificación de su resolución al usuario y a la empresa prestadora.

NOTA: La CNC dispone de un Centro de Consultas Telefónicas (Call Center) que brinda asesoramiento a los usuarios mediante la línea gratuita 0800-333-3344 de Lunes a Viernes de 8:00 a 18:00 hs.",El reclamo puede ser efectuado por el titular o sus apoderados.,,,,Centro de Atención al Usuario del Espectro Radioeléctrico (CAUER) y Oficinas de Atención al Público en todo el País.,,
937,Reclamo del Servicio de Acceso a Internet por Gestiones Administrativas,Comisión Nacional de Comunicaciones,"Solicitar la intervención de la Comisión Nacional de Comunicaciones en el caso de inconvenientes en las gestiones administrativas realizadas relativas al servicio de acceso a Internet.

Las causas más comunes de este tipo de reclamo son:
- Incumplimiento de solicitud de baja.
- Desconocimiento del Servicio.","1.- Si usted es titular del servicio deberá presentar fotocopia del documento de identidad (DNI, CI, LC, LE, Pasaporte).

2.- Si usted es apoderado deberá presentar un poder ante escribano público o carta poder con firma certificada por entidad bancaria o policial.

3.- Copia completa de una factura reciente del servicio.

4.- Para cualquier tipo de denuncia deberá informar fecha y número de reclamo otorgado por la empresa prestataria del servicio y/u otra documentación que crea de interés.

5.- Fotocopia de cualquier documentación enviada a la empresa o recibida de ésta.

6.- F37c - Formulario General Para iniciar Reclamos Sobre Servicios de Internet y/o nota firmada por quien se presente, debiendo identificar el problema.","1.- Es obligatorio que en primer lugar se efectúe el reclamo ante la empresa.

Si la empresa no respondiese o Ud. no hubiere quedado satisfecho con la respuesta, quedará habilitado para requerir la intervención de esta Comisión Nacional.

2.- Para iniciar el reclamo ante la CNC deberá presentar la documentación mencionada en la Oficina de Atención al Público correspondiente a su domicilio o bien remitirla por correo postal al apartado especial 114 (consulte el apartado correspondiente a su domicilio).

3.- El estado del trámite puede consultarse en la oficina en que haya iniciado su Reclamo telefónicamente, en forma personal o por correo electrónico.

4.- El trámite finaliza con la notificación de su resolución al usuario y a la empresa prestadora.

NOTA: La CNC dispone de un Centro de Consultas Telefónicas (Call Center) que brinda asesoramiento a los usuarios mediante la línea gratuita 0800-333-3344 de Lunes a Viernes de 8:00 a 18:00 hs.",El reclamo puede ser efectuado por el titular o sus apoderados.,,,,Centro de Atención al Usuario del Espectro Radioeléctrico (CAUER) y Oficinas de Atención al Público en todo el País.,,
975,Reclamo de Telefonía Fija por Facturación,Comisión Nacional de Comunicaciones,"Solicitar la intervención de la Comisión Nacional de Comunicaciones en el caso que considere que la factura emitida por el prestador de telefonía fija presenta cargos mal facturados.

Las causas más comunes de este tipo de reclamo son:
- Abono y/o Impuestos mal facturados.
- Cargo de reconexión.
- No devolución de días sin servicio.
- Conceptos por cuenta y orden de terceros.
- No aplicación de descuentos (bajo consumo / jubilados).
- Desconocimiento de llamadas.","1.- Si usted es titular de la línea deberá presentar fotocopia del documento de identidad (DNI, CI, LC, LE, Pasaporte).

2.- Si usted es apoderado deberá presentar un poder ante escribano público o carta poder con firma certificada por entidad bancaria o policial.

3.- Si usted es el usuario del servicio deberá presentar fotocopia del contrato de locación o comodato del inmueble, fotocopia de su documento de identidad (DNI, CI, LC, LE, Pasaporte).

4.- Copia completa de las facturas cuestionadas (frente y reverso).

5.- Para cualquier tipo de denuncia deberá informar fecha y número de reclamo otorgado por la empresa prestataria del servicio y/u otra documentación que crea de interés.

6.- Fotocopia de cualquier documentación enviada a la empresa o recibida de ésta.

7.-  F37a - Formulario General Para iniciar Reclamos Sobre Servicios de Telefonía Fija y/o nota firmada por quien se presente, debiendo identificar el error detectado y detallar en forma clara la parte de la factura que desea reclamar (por ejemplo: llamadas desconocidas, impuestos mal facturados, conceptos por cuenta y orden de terceros, etc.)

8.- Para reclamar la no aplicación de descuentos (bajo consumo / jubilados) se deberá acompañar copia de la factura del período y de los dos vencimientos inmediatamente anteriores.","1.- Es obligatorio que en primer lugar se efectúe el reclamo ante la empresa, el mismo debe ser realizado hasta 60 (SESENTA) días corridos de la fecha de primer vencimiento de la factura.

Si la prestadora no responde dentro de los 15 días hábiles o no considera satisfecho su reclamo podrá solicitar la intervención de la Comisión dentro de los 30 (TREINTA) días contados a partir de la respuesta o vencido el plazo para contestar.

2.- Para iniciar el reclamo ante la CNC deberá presentar la documentación mencionada en la Oficina de Atención al Público correspondiente a su domicilio o bien remitirla por correo postal al apartado especial 114 (consulte el apartado correspondiente a su domicilio).

3.- El estado del trámite puede consultarse en la oficina en que haya iniciado su Reclamo telefónicamente, en forma personal o por correo electrónico.

4.- El trámite finaliza con la notificación de su resolución al usuario y a la empresa prestadora.

NOTA: La CNC dispone de un Centro de Consultas Telefónicas (Call Center) que brinda asesoramiento a los usuarios mediante la línea gratuita 0800-333-3344 de Lunes a Viernes de 8:00 a 18:00 hs.","El reclamo puede ser efectuado por el titular, sus apoderados o quienes acrediten tener derecho al uso del inmueble donde se encuentra instalado el servicio.",,,,Centro de Atención al Usuario del Espectro Radioeléctrico (CAUER) y Oficinas de Atención al Público en todo el País.,,
976,Reclamo de Telefonía Móvil por Gestiones Administrativas,Comisión Nacional de Comunicaciones,"Solicitar la intervención de la Comisión Nacional de Comunicaciones en el caso de inconvenientes en las gestiones administrativas realizadas relativas al servicio de Telefonía Móvil.

Las causas más comunes de este tipo de reclamo son:
- Incumplimiento de solicitud de baja.
- Desconocimiento del Servicio.
- Inconvenientes con la recarga de crédito.
- Inconveniente con el saldo preexistente.","1.- Si usted es titular del servicio deberá presentar fotocopia del documento de identidad (DNI, CI, LC, LE, Pasaporte).

2.- Si usted es apoderado deberá presentar un poder ante escribano público o carta poder con firma certificada por entidad bancaria o policial.

3.- Copia completa de una factura reciente del servicio.

4.- Para cualquier tipo de denuncia deberá informar fecha y número de reclamo otorgado por la empresa prestataria del servicio y/u otra documentación que crea de interés.

5.- Fotocopia de cualquier documentación enviada a la empresa o recibida de ésta.

6.- F37b - Formulario General Para iniciar Reclamos Sobre Servicios de Telefonía Móvil y/o nota firmada por quien se presente, debiendo identificar el problema.","1.- Es obligatorio que en primer lugar se efectúe el reclamo ante la empresa.

Si la empresa no respondiese dentro de los 15 (QUINCE) días hábiles o Ud. no hubiere quedado satisfecho con la respuesta, quedará habilitado para requerir la intervención de esta Comisión Nacional.

2.- Para iniciar el reclamo ante la CNC deberá presentar la documentación mencionada en la Oficina de Atención al Público correspondiente a su domicilio o bien remitirla por correo postal al apartado especial 114 (consulte el apartado correspondiente a su domicilio).

3.- El estado del trámite puede consultarse en la oficina en que haya iniciado su Reclamo telefónicamente, en forma personal o por correo electrónico.

4.- El trámite finaliza con la notificación de su resolución al usuario y a la empresa prestadora.

NOTA: La CNC dispone de un Centro de Consultas Telefónicas (Call Center) que brinda asesoramiento a los usuarios mediante la línea gratuita 0800-333-3344 de Lunes a Viernes de 8:00 a 18:00 hs.",El reclamo puede ser efectuado por el titular o sus apoderados.,,,,Centro de Atención al Usuario del Espectro Radioeléctrico (CAUER) y Oficinas de Atención al Público en todo el País.,,
