nombre,financiamiento,provincia,localidad,internacion,camas
HOGAR GERIATRICO,Público,Buenos Aires,17 de Agosto,Sí,12.0
UNIDAD SANITARIA 17 DE AGOSTO,Público,Buenos Aires,17 de Agosto,Sí,6.0
CENTRO MEDICO QUIRURGICO,Privado,Buenos Aires,25 de Mayo,Sí,4.0
GERIATRICO RENACER SA,Privado,Buenos Aires,25 de Mayo,Sí,0.0
HOSPITAL SUBZONAL SATURNINO E. UNZUE,Público,Buenos Aires,25 de Mayo,Sí,75.0
HOGAR GERIATRICO,Público,Buenos Aires,30 de Agosto,Sí,19.0
HOSPITAL MUNICIPAL 30 DE AGOSTO,Público,Buenos Aires,30 de Agosto,Sí,42.0
HOSPITAL MUNICIPAL DR. FRANCISCO EGUIGUREN,Público,Buenos Aires,30 de Agosto,Sí,20.0
CLINICA INDEPENDENCIA,Privado,Buenos Aires,9 de Julio,Sí,35.0
CLINICA INTEGRAL DE LA VISION,Privado,Buenos Aires,9 de Julio,Sí,2.0
CLINICA PRIVADA OESTE DE 9 DE JULIO,Privado,Buenos Aires,9 de Julio,Sí,33.0
CLINICA PRIVADA OFTALMOLOGICA 9 DE JULIO,Privado,Buenos Aires,9 de Julio,Sí,2.0
GERIATRICO,Privado,Buenos Aires,9 de Julio,Sí,0.0
GERIATRICO ( CALLE SANTA FE Y R. RAMOS),Privado,Buenos Aires,9 de Julio,Sí,0.0
HOGAR DE ANCIANOS MUNICIPAL SANTO DOMINGO DE GUZMAN,Público,Buenos Aires,9 de Julio,Sí,67.0
HOGAR DEL SOL,Privado,Buenos Aires,9 de Julio,Sí,30.0
HOGAR GERIATRICO FAMILY,Privado,Buenos Aires,9 de Julio,Sí,31.0
HOSPITAL SUBZONAL GENERAL DE AGUDOS JULIO DE VEDIA,Público,Buenos Aires,9 de Julio,Sí,98.0
RESIDENCIA GERIATRICA DON JESUS,Privado,Buenos Aires,9 de Julio,Sí,0.0
